timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/08/14 06:13:45.250, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.85 W
2026/08/14 06:13:46.254, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.75 W
2026/08/14 06:13:47.257, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.67 W
2026/08/14 06:13:48.261, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.72 W
2026/08/14 06:13:49.265, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.76 W
2026/08/14 06:13:50.267, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.70 W
2026/08/14 06:13:51.270, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.65 W
2026/08/14 06:13:52.273, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.69 W
2026/08/14 06:13:53.277, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.59 W
2026/08/14 06:13:54.280, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.60 W
2026/08/14 06:13:55.283, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.54 W
2026/08/14 06:13:56.286, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.58 W
2026/08/14 06:13:57.290, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.53 W
2026/08/14 06:13:58.294, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.45 W
2026/08/14 06:13:59.299, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.52 W
2026/08/14 06:14:00.302, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.36 W
2026/08/14 06:14:01.308, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.38 W
2026/08/14 06:14:02.312, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.32 W
2026/08/14 06:14:03.318, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.36 W
2026/08/14 06:14:04.322, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.36 W
2026/08/14 06:14:05.328, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.35 W
2026/08/14 06:14:06.331, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.26 W
2026/08/14 06:14:07.338, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.30 W
2026/08/14 06:14:08.342, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.19 W
2026/08/14 06:14:09.357, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.28 W
2026/08/14 06:14:10.360, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.24 W
2026/08/14 06:14:11.365, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.22 W
2026/08/14 06:14:12.368, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.16 W
2026/08/14 06:14:13.372, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.16 W
2026/08/14 06:14:14.375, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.21 W
2026/08/14 06:14:15.378, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.18 W
2026/08/14 06:14:16.381, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.14 W
2026/08/14 06:14:17.385, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.14 W
2026/08/14 06:14:18.388, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.09 W
2026/08/14 06:14:19.396, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.13 W
2026/08/14 06:14:20.400, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.10 W
2026/08/14 06:14:21.403, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.08 W
2026/08/14 06:14:22.406, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.95 W
2026/08/14 06:14:23.411, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.09 W
2026/08/14 06:14:24.414, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.03 W
2026/08/14 06:14:25.417, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.06 W
2026/08/14 06:14:26.421, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.01 W
2026/08/14 06:14:27.426, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.95 W
2026/08/14 06:14:28.430, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.99 W
2026/08/14 06:14:29.434, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.01 W
2026/08/14 06:14:30.437, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.96 W
2026/08/14 06:14:31.441, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.93 W
2026/08/14 06:14:32.443, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.99 W
2026/08/14 06:14:33.481, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.98 W
2026/08/14 06:14:34.532, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.95 W
2026/08/14 06:14:35.536, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 115.08 W
2026/08/14 06:14:36.538, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.87 W
2026/08/14 06:14:37.542, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.91 W
2026/08/14 06:14:38.544, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.83 W
2026/08/14 06:14:39.547, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.89 W
2026/08/14 06:14:40.551, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.82 W
2026/08/14 06:14:41.554, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.86 W
2026/08/14 06:14:42.557, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.87 W
2026/08/14 06:14:43.560, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.90 W
2026/08/14 06:14:44.563, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.80 W
2026/08/14 06:14:45.565, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.85 W
2026/08/14 06:14:46.568, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.86 W
2026/08/14 06:14:47.571, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.87 W
2026/08/14 06:14:48.574, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.74 W
2026/08/14 06:14:49.577, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.83 W
2026/08/14 06:14:50.580, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.89 W
2026/08/14 06:14:51.584, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.84 W
2026/08/14 06:14:52.586, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.85 W
2026/08/14 06:14:53.590, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.79 W
2026/08/14 06:14:54.592, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.68 W
2026/08/14 06:14:55.597, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.82 W
2026/08/14 06:14:56.599, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.69 W
2026/08/14 06:14:57.602, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.72 W
2026/08/14 06:14:58.604, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.72 W
2026/08/14 06:14:59.608, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.75 W
2026/08/14 06:15:00.611, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.73 W
2026/08/14 06:15:01.614, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.74 W
2026/08/14 06:15:02.617, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.74 W
2026/08/14 06:15:03.620, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.76 W
2026/08/14 06:15:04.624, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.69 W
2026/08/14 06:15:05.627, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.74 W
2026/08/14 06:15:06.630, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.66 W
2026/08/14 06:15:07.632, 0, NVIDIA H200, 118725 MiB, 143771 MiB, 0 %, 114.68 W
